Artist,Title,Year,Genre
A certain ratio,Shack Up,1980,pop
Abba,Mama Mia/I do,1975,pop
Abba,Mamma Mia,1975,pop
Abba,Fernando,1976,pop
Abba,Dancing Queen,1976,pop
Abba,Summer night city ,1978,pop
Abba,Chiquitita,1978,pop
Abba,SOS,1975,pop
ABC,All of my heart,1982,pop
ABC,Look of Love,1982,pop
ABC,Poison Arrow,1982,pop
ABC,when smoky sings,1987,pop
ACDC,Whole Lotta Rosie,1977,rock
ACDC,Touch Too Much,1979,rock
ACDC,Whole Lotta Rosie,1977,rock
ACDC,Highway to Hell,1979,rock
Adam and the Ants,Ant Music,1980,punk
Adam and the Ants,Kings of The Wild Frontier,1980,punk
Adamski,Space Jungle,1990,pop
Adventures of Stevie V,Dirty Cash,1989,pop
adverts,Gary Gilmour's eyes,1977,punk
adverts,No time to be 21,1978,punk
afro beat,afro flower,2018,afro
afronova,whatever you want,2018,afro
Age of Chance,Kiss,1986,pop
Airhead,Funny How,1991,pop
Airhead,Counting Sheep,1991,pop
Al Green,L-O-V-E,1975,soul
Alarm,68 Guns,1983,pop
Alice Cooper,Hello Hooray,1971,pop
Altered Images,happy Birthday,1981,pop
Altered Images,I could be happy,1981,pop
Altered Images,see those eyes,1982,pop
Amen Corner,Bend Me Shape Me,1968,60s
America,Horse with no name,1971,rock
Animals,We gotta get outta this place,1965,60s
Apache Indian,Boom Shack A Lack,1993,
apostles,banko woman,2017,afro
Archies,sugar sugar,1969,60s
Arctic Monkeys,I Bet You Look Good on The Dance Floor,2005,pop
Aretha Franklin,Think,1968,soul
art of noise,dragnet,1987,pop
art of noise,kiss,1988,pop
art of noise,close (to the edit),1984,pop
Arthur Conley,Sweet Soul Music,1967,soul
associates,Party Fears 2,1982,pop
associates,club country,1982,pop
associates,breakfast,1984,pop
Atomic Rooster,Devil's Answer,1973,pop
Avikultores,Grave error,,spain
aztec camera,oblivious,1983,pop
Azul y negro,numeros rojos,1985,pop
B.E.F,Crushed by the wheels of industry,1983,pop
B>E>A>K,Culture Vulture,2007,post rock
B52s,Rock Lobster,1979,pop
B52s,Love Shack,1989,pop
Baby Ford,Chiki Chiki Ahh ahh,1988,pop
Bahaus,She's in parties,1983,pop
Bananarama,nanananaheyhey,1982,pop
Bananarama,Really Saying Something,1982,pop
Bananarama,Cruel Summer,1989,pop
Banda Iberica,Pasadobles,1960,Flamenco
Bandwagon,Breakin down the walls of heartache,1968,soul
Bang 74,Can you fix me up with her,1990,pop
Bangles,Walking Down Your Street,1986,pop
bangles ,manic Monday,1985,pop
Barracudas,Summer Fun,1980,pop
